lemmatized,Sentiment
buy gift father share impression pro hand feel premium feel like samsung s series display notch price 90 hz practically oneplus good camera phone price point perfect 5 g phone band oxygen os main layer feel like oxygen os build quality strong hardware good device con kinda oppofication code base destroy oneplus ui experience ask kinda permission set device like camera app ask permission unwanted permission overall good phone price s start phase oppo fication oneplus stay oxygen os don t turn s key mvp oneplus,Positive
love oneplus 8 t get phone girlfriend spend like 13 k extra get 8 t don t feel like difference phone worth 13 k love phone pro fast chargingsmooth usagelook depend user user cameracon 120 hz display instead 90 hzinclusion coloro ui camera setting,Positive
edit 2 star 1 star camera issue face use camera 5 10 min automatically fall close idk issue come 3 rd update purchase phone understand lot phone available market well chaper eex samsung 52 72 mi 10 poco f 3 gt realme not look,Neutral
receive dummy product disappointed time come experience dishearten amazon plus,Negative
phone heat like hell 38 c worth accord hype create heat 44 c touch phone heating major problem,Negative
don t buy product issue imei number oneplus system recognize imei code mobile mobile ghost oneplus case eligible warranty happen oneplus team extremely lethargic interested address issue,Negative
disappoint day 1 app say storage find camera switch time download image sapp give permission take 10 attempt attach picture review evertime attach file app crash go replacement doesn t resolve day,Negative
receive phone yesterday m disappointed pathetic camera capture good pic close short phone camera provide contrast image daylight doesn t provide decent image night mode battery drain fast thing happy phone battery charge fast 100 33 minute feel like cheat product purchase amazon check review phone refund provide well replacement price range update 15 08 overall performance ok close shot rear camera struggle update 27 08 feel s worth buying want buy new handset price range wait pixel 5 release india,Neutral
color product dark color show description day delivery ask return replace item bluntly refuse bad experience plus give star option totally unhappy unsatisfie,Negative
performance good camera feature well previous nord,Neutral
mobile switch show error like serial match fastbook unlock verify ok parhetic kind quality checking carry oneplus,Neutral
bug issue app close automatically 30 second,Neutral
bad phone oneplus oneplus oxygen os feel oppo color os camera feature color osi suggest buy s feel oneplus flagship phone s feel ordinary phone like oppo realme fan oneplus definitely buy phone thinking new user oneplus oneplus fan phone price range like oppo reno 6 realme x 7 max mi 11 x etc thank,Positive
pro 1 charge power 2 processor 3 camera feature 4 stereo speaker 5 display 6 storage ufs 3 17 nfc 8 gorilla glass 5 backcon 1 display size 2 usb 2 0 able stream game 3 dolby atom 4 google dailer contact message 5 plastic frame edge,Neutral
heat mble secns,Neutral
phone lot heating problem external climate high summer camera shutdown automatically phone switch charge phone heat observe lot scenario need proper investigation spend alot money well product expect kind issue well good avoid buy oneplus product,Neutral
impression update detailed reviewthe phone solid feel good hand small size single handedly glass attract fingerprint haze blue variant s glossy finish youtuber gray matt finish checkdisplay display crisp brightness level good indoor outdoor usage doesn t bright oneplus 9 series decent little blue tint notice tilt screen don t know s common speaker speaker decently loud think low like sound output quality decent call issue hear person earpiece decently loud win t s clear hear overall win t ve disappoint sound output decently loud software oxygen os smooth doesn t come lot bloatware u cautious permission like search bar build oxygen os app easliy avoid bug like vibration motor intensity change work phone report communitycamera main camera good night shot adequate detail perform indoor outdoor wide angle camera average detail good pic social medium consider single camera device well deal compare pixel 4 4 year old 2 mp mono camera doubt workscharge battery life decent easliy day charge speed good atmosphere cool test 65 w charger charge phone fully 45 min go use daily fast charging take toll battery life charge 20 w charger charge decently fast performance haven t gaming update review general performance good glitch app wroke pretty smoothly doesn t heat normal usage update 15 day use initially battery drain fast s normal new phone post 3 4 complete recharge cycle battery perform expectation main camera quality good crisp night light photo game performance smooth casual gamer phone doesn t heat remain limit definitely fledged gaming phone software experience good s lack lot android phone ui transition smooth visible lag good s single hand usability overall s great phone power user professional definitely feature rich paper powerful tick box 3 monthsa lot bug screecast bluetooth doesn t work,Positive
s bad,Negative
recently buy build quality satisfying good phone cover fine pro 1 ois low price 2 mediatek dimensity 1200 con 1 plastic body 2 wide angle camera s low light performance satisfactory 3 4500 mah low battery capacity increase production cost 5500 mah battery,Positive
initially get defective piece eventually replace amazon rewrite review 1 design 5 52 performance 5 53 battery life 5 54 camera 4 5 camera need bit improvement rear camera superb 5 connectivity 5 56 video playback 4 57 audio playback 6 5 good,Positive
early negative review buy second nord 5 not publish think publish positive review plus negative review rating 4 battery drain fast phone heat occasionally cautious buy nord 2 explode time india,Negative
buy phone rounder stream multimedia play game regret decision device unable stream hd content prime video despite have wivevinel 1 certification hdr playback netflix support attach screenshot oneplus customer care pretty useless say unaware issue device specific problem phone case recieve slightly deform definitely experience expect spend 30 k smartphone,Negative
thankyou team oneplus amazon ruin 2 year pocket money save s give heater m happy m warm food tea time frustrating thing heating issue battery drain phone issue handle order handset display issue order replacement get oneplus brand know quality product year don t know play reputation good phone ok heating issue,Positive
launch 12 order 12 03 pthis primary phone day usage body feel good perfect edge feel solid hold feel flimsy reduce camera bump little screen 90 hz amole love sight 3 colour reproduction viewing angle scroll amazing battery last day charging breeze take 20 minute reach 10 100 little warm continuous screen time worrisome standard ui haptic tiny animation extremely think like tiny circle dot camera use ability change fingerprint animation etc oneplus don t judge new display fingerprint phone sure general come solid physical fingerprint scanner feel scanner miss hit need know exact area etc deal breaker animation haptic compensate camera high hope normal daylight shot fine ultra wide disappointing night ultra wide go haywire portrait okay good skin tone bokeh feel place heavy image processing feel artificial camera ui isn t ergonomic feel place oneplus macro software day 2 software update oxygen os memory card lack expandable storage x headphone jack let s happen 12 day receive ota update camera change company claim wifi connection seamless camera weird 4 k 60 fps n ultra crisp portrait inactive portrait mode work regular photo mode 50 mp inactive night mode camera average desperately add extra white hdr look artificial away keep pop portrait subject arm s length bokeh mess fix update video support 2160 p youtube hdr compatibility netflix prime battery regular user leave 40 45 battery day charge bliss max 15 20 minute voila 100,Positive
display issue receive defective product expect oneplus display colour change screen go black,Neutral
phone feel good hand spec wise s killer notch processer 8 gb ram camera good issue processer fully optimize get slow performance overall recommend plus user try oneplus phone time recommend,Positive
2 week use review pro 1 look feel 2 rear camera photo quality 3 fast charge 100 30 min 4 fingerprint sensor con 1 bad battery life 2 5 hrs screen time ve 4 g sim ve sim slot guess battery backup oh sorry 5 g smartphone wait 1 2 hour screen time 5 g come 3 5 year old mobile realme 1 3410 mah batter life call flagship oh sorry oppo smartphone coloro brand poco f 3 gt ll superior performance segment compare oneplus nord 2,Negative
app like youtube whatsapp flipkart crash sound glitch video freeze sd card error open camera lol sd card slot hd streaming amazon prime video hotstar widevine l 1 support amazon gimme money update amazon accept refund request thank amazon,Positive
face unlock work parallel app satisfied phone,Neutral
major touch issue 0 pointsmajor heating issue 0 pointsbattery life 5 10 camera 3 10 sound quality 8 10 screen 6 10 charge time 10 10 waste money phone total waste,Negative
s love phone oneplus 6 user 2018 phone run fine buy phone impulse see spec price point glad oneplus didn t disappoint order 26 th july receive today phone 3 hour love people compare phone poco f 3 gt let tell u guy ui experience u miui close oxygen os mention well camera glad oneplus flagship killer segment flagship overheating issue point big shout amazon superfast delivery,Positive
plus opinion phone 1 month look 10 10 display 10 10 camera 10 9 battery 10 10 charge 10 10 finger print 10 10 overall 10 9 5 superb,Positive
excellent flagship mobile pro con usagepro 1 main advantage mobile camera able natural colour time time plus change camera 32 mp camera good selfie plus work camera lot 2 pro 65 w charger charge mobile 0 100 30 min 3 design wise s look like mini plus 9 give corn gorilla glass protection 4 ui pretty smooth use processor bit fast con 1 90 hz good 120 hz well price range 2 pre instal app removable 3 get ad 4 friendly gamer face slight hanging issue bgmiapart overall performance good camera good class design elegant resale value plus good compare android smartphone gamer need mobile photography professional use blindly,Positive
3 day usage experience pro display quality good 90 ghz work good look quality good 65 w battery good work fine con rear camera bad core expect oneplus youtuber fool plan worth money waste time,Positive
expect lot performance phoen like issue watch youtube video edit video gets freezed don t know reason switch iphone 6 good decision tell pro con devicepro 1 smooth amole display refresh rate 90 hz s smooth 2 alert slider like iphone like 3 video stabilization good 4 charging fast approx 35 40 minscon 1 battery drain like jet 2 phone heat like pressure cookereven normal situation cam mode burn think reduce give software update like 9 r 3 camera like expectedbut tell s imperfectvideo t record 4 k 60 fpsa tell early cam burn like hell affraid explosion 4 pure oxygen oswehn come pop customization like color os 5 find gap phone camera bumb press everytime sound like tick tick find phoneit honest reviewhope get helpfulthank,Positive
hear 2 3 blast news month scared use phone oneplus mention phone blast external factor don t know external factor factor applicable realme samsung iphone haven t hear news brand hope oneplus good customer phone send legal notice people complain blast display cause eye strain lack dc dim feature hope oneplus provide update update review update phone thank,Positive
good,Neutral
oneplus great work phone robust good looking previous nord yes software bit different point app ask unnecessary permission personally don t feel security flaw mi iqoo product 1 grey sierra version frost gorilla glass resist fingerprint 2 screen bright visible bright sunlight need 1200 nit bright panel 3 plastic body premium look beware scratch gorilla glass resistant body isn t 4 camera ois work like charm take night mode photo slowmo video normal video zoom shot 5 camera quality well previous nord good flagship phone camera definitely instagram ready shot bit practice 6 good charge speed get battery 10 90 20 min plug shower s fully charge come battery definitely day normal use game 3 hour day need charge twice charge speed definitely solve problem sum sceptical buy phone people usually complain bad oneplus phone instagram comment review amazon end phone definitely worth 5 g band make future ready add sample shot like review vote helpful,Positive
base impression 1 handy actually weight distribution good 2 camera good take indoor shot update week 3 amole display good dark mode 4 battery backup far good heating issue 5 fast smooth con 1 hd content streaming amazon issue resolve update 2 watch 8 k video 4 k video freeze display 3 unable clone app issue resolve update 4 seperately need buy 3 5 jack adapter 5 screen protector dust force remove protector worth buying big upgrade previous mobile update comment week,Positive
today phone blast,Neutral
bad phone unable use phone quality bad application crash connect red cable club buy phone show warrenty plus phone 4 year bad model possible create plus team,Negative
receive nord 2 29 august 6 day review phone average aspect average camera quality majorly camera get clear image blurring charge fast 20 min 100 cause lot heating issue fear read news oneplus nord 2 blast phone heat normal usage ask permission hamper security app work fine smooth fingerprint scanner qr scan take fast exchange realme 2 pro t return phone mazon give refund option prime member bad experience amazon 3 year old phone work well people company say explosion happen external factor guess allow carry oneplus nord 2 pocket cause external issue lastly think wait google pixel 5 instead buy phone don t buy phone,Negative
look overall performance phone good class processor camera clean ui battery life premium feel hand blindly oneplus nord 2 personally feel oneplus reputed brand mid range phone invest hard earn money good brand update 8 day get 2 update work buttery smooth camera awesome battery notch get 7 8 hour s sot easily 2 hrs game fast charging get fast update update phone change 28 min 0 100 heating issue till definitely recommend device professional classy type people focus fancy trigger rbg lighting invest phone relax 2 3 year atleast,Positive
week phone tend hang incoming display number way reach mean hopeless performance skippee replacement date 02 day don t know pl help,Neutral
pathetic phone curse buy spend hard earn money excited plus phone previous plus phone good review major problem 1 battery getting drain super fast half day s normal usage phone s battery die video movie ir heavy use normal call google meet d camera usage take battery 100 25 2 annoying message display sim number know message receive sim 1 2 call oneplus aware issue s new phone say write feedback community forum technical team try solve issue update 3 message classification available notification push msg promotion msg personal important msgs club classification 4 want record safety purpose play loud message hear record safety wise call threaten t record warn raise battery issue amazon issue technician visit week thank god amazon service good update replacement later,Positive
look like oppo phone oneplus phonepositivescamera qualitywrap chargeuser friendlynegativesover heatbattery processorit snap dragon,Neutral
regret buy phone 1 frequent drop big problem nord nord 22 network issue occur handset handset home good network 3 ll need separate jack earphone 4 battery drain frequently dash charge handset dash discharge 5 light sensing poor ll manually deal brightness dim strong natural light,Neutral
s day base viewpro 1 65 w charge 2 oxygen os smooth os 3 performance issue daily task 4 camera performance good overall 5 oneplus s brand value con 1 battery backup good charge twice day 5 6 hour sot 2 ulta wide camera soon crop photo s noise 3 gaming s flashship processor game high graphic 60 fps old sd 855 phone well job processor require optimisation overall good purchase,Positive
oneplus lose mind 1 camera quality s sup bad case specially ultra wide camera bad performer 5 mp instead 32 mp super disappointment main shooter perform ok main 50 mp capable perform oneplus algorithm mess 2 performance diamensity 1200 capable oneplus lower performance extra idiot mindset 3 screen quality s ok superb 600 nit max brightness average chin size common oneplus s 2021 4 battery life battery performance ok think update issue resolve hope charge speed mind blow 5 rest thing good consider price 30 k tag consider 35 k high storage nord 2 s seriously worth case 6 software experience s completely color os oneplus skin good experience twin ui shame shame oneplus note oneplus 7 t 22 month s good aspect,Positive
get plus nord 2 26 th usual amazon fast delivery abt phone pretty good decent price range you high end game issue camera good photo good day light excellent battery good day 65 w charge worry battery backup,Positive
oneplus phone lot mi redmi poco phone mi 3 mi 5 poco f 1 redmi k 20 pro day think save 5 k 10 k choose mi phone oneplus phone fedde miui finally shift oneplus pretty satisfied decision switch oneplus actually nord 2 price poco f 3 gt exchange hdfc discount don t review use 10 day use 2 3 year xiaomi phone slow 1 year,Positive
phone definitely underclocked need enable high performance mode flagship experience normal mode performance close snapdragon 855 high performance mode s close sd 870 heat quickly mode weird reason motion gester option ask history manage call permission ui uneven area camera application battery page display setting page storage page straight color os main cam pretty good low light uw soft unusable indoor low light condition display doesn t bright compare competition boot photo auto update user permission write chineese language 65 w charge superfast good haptic good set speaker 90 hz constant ui good main camera feel lightweight doesn t feel big uncomfortable hand,Positive
order phone soon launch amazon 26 th midnight wait launch month totally excited super fast delivery extra excited open package phone super smooth sleek expect total love recommend friend open package neplusnord 2,Positive
today get know day day plus nord 2 blast m regret buy nord 2 parent allow phone nord 2 heating issue scare blast phone kindly think buy phone phone return date go t return,Negative
dislike plz don t buy phone heating issue ye itna heat ho rha h ki blast v kr sakta h agar brand dam h replace kr de home delivery iska service center v har jagah nhi h,Negative
basic feature like recording theregoogle dialler instal default app make receive call let automatic recordingif record option press tell person phone recordeddefault plus dialler available phoneyou install default plus dialler party record app,Neutral
oneplus nord 2 5 day let assure review regular user phone reviewer 1 nord 2 look premium want flaunt colour blue haze variant shouldn t use cover cover s look particular smudge scratch well cover plastic screen cover pre apply 2 amole screen bright decent visibility daylight punch hole disturbance switch notch screen 3 software oxygen os 11 3 clean spammy number issue e g app cloner isn t recognise app clone account whatsapp telegram etc stick hopefully software update correction 4 sms app take irritatingly long time match contact input address book 5 app load fast custom o s 6 battery last day 90 hz display routine daily usage multiple app video game 7 charge 20 80 approximately 15 minute heat charging non game usage 8 set stereo speaker fair quality sound great 9 camera pretty good daylight dark 10 corn gorilla glass good frame plastic dampener 3 5 mm jack overall oneplus nord 2 good value money phone upgrade midrange want flagship phone good 5 g processor clean o s promise software support brand value update 25 th september 2021 till os isn t support dual app whatsapp telegram enquire technical team yiled vague uncertain reply deal breaker use multiple clone app certain oneplus aware issue phone,Positive
time choose plus finally disappoint phone battery drain fast camera mark well choose phone don t believe rating bad video execute night time heating issue start week buy nord 2 not waste money purchase u feel regret like,Negative
buy oneplus nord 2 5 g phone 5 hour keep idle 2 hour try use youtube getting force close 5 10 min gallery close camera automatic shut whatsapp video unable play mx player stop work,Negative
buy grey sierra 12 gb 256 gb want buy green wood time launch india buy grey sierra disappoint look fantastic give premium feeling phone month recommend father buy green wood launch tell want buy 12 gb 256 gb close eye buy green wood give premium feeling look amazing unique leather finish matte look come performance camera fantastic phone doesn t head phone continuously non stop battery 1 day 7 8 hrs good battery gets charge 35 min overall phone amazing range advice handle gadget care long don t try compare 3 4 handset time mess mind think want buy,Positive
phone work properly 30 day phone stop work don t waste money oneplus make people fool seriously 1 month work fine lot bug phone switch automatically turn visit service center tell technical issue wait 8 10 day fix problem waste 30 k cheap phone branding plus feel cheated disappointed,Negative
satisfied phone heating issue hang tried replace phone issue piece return phone 20 day wait refund customer care care time refund 3 5 day wait bad amazon dissatisfied customer buy mobile amazon,Neutral
phone overheat normal use phone camera good scared use phone overheat blast honor huawei phone face overheat problem phone plus come check want refund product life threaten product home,Neutral
expect phone superior 6 t camera quality pathetic charging slow 6 t mistake buy phone,Negative
sir clear phone sefty read newspaper nord 2 5 g blast problem check pl action,Negative
lookwise s awesome single hand support size phone need mobile normal use like chat lil bit entertainment simple android interface s performance good fast smooth plus camera quality good price point like wrap charge work fast battery drain fast gaming n heavy task good gamer handle game good don t recommend phone coz small display low refresh rate lack 3 5 mm jack make trouble play game like cod pubg etc phone get heat win t able play long switch poco x 2 usually low fps graphic setting comfortable good device play game overall overhyped product miss 3 5 mm jack thing currently amazon prime netflix ott platform stream hd device hv try setting n discuss tech support,Positive
phone good practical area oppofication clearly feel oneplus enable audio enhancement tws bluetooth oneplus bluetooth earphone tws sound awesome oneplus 6 connect nord 2 sound flat lack bass audio tuner enable bluetooth earphones oneplus want difference nord oneplus series phone clearly feel play audio setting good idea old phone oneplus 6 stunning feature ui nord 2 rating 3 update 4 audio tuner enable 5 star ui good future update attach screenshot,Positive
buy phone couple day daughter happy major problem 1 jio sim work sim gets detect signal tower bar 90 try jio option select jio sim show disabled incidentally jio second sim slot volte setting option menu voice wifi present setting menu work sim oneplus immediately come solution pende jio user able use phone likelihood edit tinker setting enable volte jio sim 2 nd slot working t clearly explain change trigger volte suddenly enable whem play different menu dual sim setting increase star feom 3 4,Positive
call overhyped oxygen os bug battery drain quickly app clone function workingno default recording facility default music player default video player camera average annoying blue dot party app t remove try download app music video phone show shortage memory 27 gb 128 gb phone ask uninstall party app utterly disappoint,Negative
1 app getting crash second launch 2 show storage brand new phone entire storage available 3 app cloner work properly allow import issue fix immediately people face issue 4 5 day launch oneplus developer able solve bug add camera quality good sure new issue crop go forward,Neutral
purchase phone high expectation someday use charger issue send charger service centre make followup request call finally get charger 27 day feel sick everyday chat oneplus whatsapp chat give fall promise like follow issue contact 24 48 hour followup message get service centre number google oneplus win t service centre number contact personally say charger replace man power problem couri charger completely nonsense 1 week courier charger m face onother new problem adopter heat charge phone contact oneplus simply say t fix say contact service centre diagno charger solution service centee far away courie charger nearly 30 day reach oneplus say contact service centre option win t provide new charger give work solve problem don t understand use wait 30 day contact oneplus don t know know responsible damge occur future phone heat time normal use camer focus subject time totally worth money face problem sale horrible service well buy phone worth money n life misserable minus point ll horrible sale service wait 2 hour chat win t consider feedback win t action buy well mobile life easy,Positive
lot expectation purchase phone turn big regret let quickly highlight pro con observation pro 1 phone slim light weight 2 charge speed good 3 quality speaker average con 1 impression bad right initial set phone restart chinese script appear picture upload ref security phone doubtful 2 m gamer heavy user want good camera phone consider brand oneplus mainly purchase phone camera phone s picture quality satisfactory rear camera ok average camera bad infact poco m 2 pro s cam well picture outdoor upload 3 battery drain fast doubtful 4500 mah battery quality 4 privacy recording soon recording start notify person 4 brightness low especially outdoors phone con pro price range well premium phone m regret go google pixel 4 iqoo 7 samsung 52,Negative
purchase mobile day launch love phone great packing prompt delivery amazon usual pro great battery typical day time use battery day easily great camera indoor outdoor night mode awesome close flagship phone 90 hz screen butter smooth 120 hz well phone range screen bright color representation good con dislike expandable memory slot cloud service fine disappoint headphone jack know buy feel like leave,Positive
write review 2 day use buy google purpose phone don t know link google phone dialer message t oneplus 35 k totally feed disappoint oneplus good t uninstall disable app like force stop time restart automatically know waste 35 k suggest phone buy able save money s opinion lastlyphone google nord nord 2 oneplus,Neutral
not buy product display issue app crash automatically work heating issue pathetic,Negative
software issue come app getting close autlmatically have heating issue camera give result cheap mobile apply replacement let check gets replace,Neutral
receive oneplus nord 2 256 gb hazel blue 27 th july ve loyal user oneplus device disappoint carry forward legacy lot expectation oneplus nord 2 oneplus fail time moment start device face heating issue camera average image blur 2 x zoom ve ask replacement caution future op customer s op year s truly chinese product market quality,Negative
budget oneplus nail spec performance fast battery last day half camera quality pretty good budget m face software issue believe ll iron later iteration oxygen color os edit change rating 5 3 star terrible software release completely uncooked night mode camera take blurry photo point incorporate ois keyboard location mistouch prevention doesn t work t delete pre instal google app oneplus message caller app well reason time phone say sim s roaming activate reality isn t s toggle setting bug wait update oneplus fix recent update hasn t change,Negative
early use realme xt exchange hope well premium phone phone make regret change feel like downgrade phone cost twice look review like different version phone face numerous issue case different camera work like 5 mp camera depth colour clarity camera good battery doesn t entire day 8 hour normal usage prominent heating issue phone heat normal usage display doesn t look good speaker actually good charge speed excellent drainage nullify s positive merging oxygen os realme oppo os disaster bug issue phone doesn t feel like oneplus phone software update hasn t solve problem hope right future update ve disappointed phone go replacement update review suggest buy phone currently,Positive
