,review
27,"  Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.
"
28,"  Horrible product
"
29,"  A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package.
"
30,"  Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.
"
31,"  Pros:1. The biggest advantage for buying this phone is the battery life. 2.Going to the body of phone it is a very greatly built it comes with the matte finish it makes the phone Look really good.Cons1. You are choosing this phone because of the four cameras then you are wrong. Because it doesn’t give any clarity even it is with the selfie camera also. the camera is not up to the mark.2. The processor is also not up to the mark because when I use this phone for 2 to 3 days in starting I just saw off in different apps and sometimes it was struggling3.The display is also not up to the markSo my general suggestion is if you’re choosing this phone for general use with having a good battery back up then you can go with itbut if you are choosing this phone because of seeing the quad cameras then you’ll be left with nothing.Thank youI hope you all will like my review
"
32,"  This is Samsung's worst phone and it hs many glitches. Samsung doesn't even cleverly keep this phone on exchange deal because it wants to push this flop phone. The settings screen automatically come on home screen randomly on any other thing that is playing. Its camera is less than mediocre. Sound quality is bad. Only redeeming feature is battery life but then who wants long battery is everything else substandard. I want to return this but there is no such option. I want to exchange it for another model but there is ni such option either. I think Amazon and Samsung are taking us for a ride. We customers must raise our voice against such malpractices. Amazon is also allowing substandard, unverified sellers to peddle junk with misleading photos and information.
"
33,"  It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything.
"
34,"  Camera is very poor.. though they mentioned 48mp but it looks like 13mp
"
35,"  I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this
"
36,"  Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...
"
37,"  Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue.
"
38,"  I am using this phone for the last one week and i noticed few positive and negative things about it.Positive points -• Fingerprint sensor is so fast and i loved it• Battery backup (6000 mAh) is amazing even after using it throughout the day• Camera quality is really good and the pictures are amazing on day light• Large display having a size of 6.5 inches and can run games smoothly on low graphic settings• 90Hz refresh rate feels so smooth• The phone doesn't lag or get heated after using it for a long time because of Exynos 850 (8nm) high-end processorNegative points -• Not made for hard-core gaming because the processor is not strong enough to run games smoothly on high graphics• The weight of phone is heavy• The brightness level is somewhat low as compared to other phones• The display that you will get is around 720 x 1600 pixels• The downloading as well as uploading speed is also low as compared to other phones within this price range• It is not water resistant and does not have Gorilla glass for screen protection .~ I am satisfied with this phone because of it's camera quality and battery backup √
"
39,"  The phone is good looking, but it doesn't support the 5G wifi due to which the downloading speed is very limited2ndly the camera is not uptonthe mark . 48 MP is around 18 MP3rd. THE PHONE takes hell lot of time to get charged .No handsfree in the box
"
40,"  Changing my review on this device after 2 month usage .  I finally have to say that this is the bang for the buck .Awesome battery life , and that's what I want . I am just using it for basic social media and calls .. rest of my heavy work is done on my primary device .CAMERA is average , My ipad's 5 MP camera shoots better than the so called ""true"" 48MP.My advice-- go for 6gb variant as 2.5 gb is acquired by the system .Overall - 4☆
"
41,"  They have conveniently skipped mentioning it is not an amoled display while mentioning 90 Hz refresh rate. Touch response is faulty on these phones and SAR value is high despite having exynos processor, which also they have conveniently skipped mentioning.
"
42,"  This phone has 90hz display, but I see a lag while browing or navigating in apps, doesn't feel like 90hz at all48MP true cam when option selected gives noisy images , otherwise in normal mode works above averageBattery is excellent works for 2 daysHeating issues occur on heavy usage, in normal mode you won't notice itFront cam 8 mp just averageOverall I took 6gb 128 gb version for 13k and doesn't seem as good.Above average phone for the price....
"
43,"  Heating issueCamera dam 👎 so badSensors issuesUsb isuueDisplay so bad its look like old phone not today's  generation  displayAmazone need to improve software  for check device  and all i think its not goodHeating isueee in phone phone take to much time for chargingSome time rear camera not work properly  for scan qr code and barcodeOverall phone like to throw in dustbin 🗑I don't  expect  product like this from samsung its to bad  experience  from samsung and amazone also im so sad for this review  but i have to do for everyone 😔 so pls don't  buy this product
"
44,"  I bought the phone for my mother. Her usage is limited to making calls, the phone stays idle all the while. She had one more requirement that I shouldn't have to recharge it regularly. Hence choose this 6000 mAh battery phone. I was happy first few days, it gave 4+ day battery life but then an update came and spoilt everything. In 12 hours it would discharge completely. I approached the customer care and the customer care took remote access and checked logs and said, I see everything healthy in device. I told even though your log shows everything right, that doesn't translate to what I physically see. I probably had conversation for almost 10-15 mins but he was always coming to point he is not seeing problem. This was my first experience with samsung phone and this will be the last. And reason is not because product was bad but the customer support is pathetic. If I get into this kind of situation with their other products as well within a week or few weeks, I would simply waste my money. I am feeling lucky that I did not buy any of their exorbitant product and learnt the lesson at lesser cost.
"
45,"  Don't know if I could get more disappointed by a purchase!!The phone did look okayish in the spec sheet. But it is a very  stupid buy.The first thing you notice is  the IMPRACTICALITY of the phone.It is too heavy(220g) and too thick (about 1cm) to carry. The display is the worst anyone could get at this price point.The processor is reasonably slow. Face detection is a joke. Battery is 6000 mah but will take forever to charge. But the side fingerprint sensor was good .Camera was okayish. Add a few more bucks and buy a better phone with OLED display.
"
46,"  Amazon hid all reviews for first few days till most of the stocks are sold out. Then after that it is not allowing to write negative reviews. I wrote my experience with so many negative points and it rejected. Still I am writing the pros & cons again.PROS:▪︎UI 3.0 is amazing. I like it a lot. It is better than Redmi, Moto, Nokia UI. (Subjective)▪︎Amazing battery life. I am getting more than 24hrs of usage after fully charged.CONS▪︎Worst camera ever. True 48MP is all bulls**t. Low light pics are also worst.Front camera is also not good.▪︎Seriously??? No Slowmotion, Timelapse & other basic features in camera.▪︎It doesn't support Camera2Api which means I cannot download GCam.▪︎Worst Screen resolution. While everyone is giving Super Amoled display & Full HD display, what happened to you Samsung??▪︎90Hz refresh rate is just gimmick.▪︎8nm processor is also waste.▪︎While all others are giving Snapdragon processors, Samsung is stuck with its Exynos which is basically useless. Phone is hanging sometimes.▪︎Phone is a bit heavy and you'll have a hard time with its weight. It's like holding a powerbank.▪︎15Watt charger?? Samsung...upgrade bro.▪︎Wifi only supports 2.5GHz band and no 5.0 GHz bandFinally dont get decieved by True 48MP, 8nm processor, 90Hz refresh rate and other gimmicks. You will be disappointed. I am very much disappointed. The worst thing is there is no return option in Amazon. Amazon bro...you too planned everything so well. Good job.
"
47,"  Good phone in decent budget .Display could've been better , 90hz is not true to my usage . Since i use op7T it's clearly evident this display lacks the precision which it is said it has .Samsung India : they call me daily to inquire whether i have posted a review and what star rating should i give to the phone . This has become a headache .Dear samsung team , please do not force customer to write reviews and try to reduce the bloatware and unwanted app installations . I am starting to think MIUI was better than this .Display : not that they said / averageCamera : average / specs doesn't meetPerformance : ok for normal useBattery : good .Call quality : goodUI : Poor ,  I will not recommend samsung , this is not the one UI it was when i purchased M30S . Now this is full of bloatware and unwanted apps are getting installed by samsung store . I am puzzled on how to stop this.Overall : Very average phone . Better go for redmi note 10 or any other better phone in this price segment .Not a value for money dela
"
48,"  I recieved the phone today and observed that it is lagging a lot unlike like other Samsung phones. Considering it has 6gb ram it should not be hanging at all.Camera quality is terrible.Lots of heating issuesDoes not connect to 5ghz wifiOnly replacement option available for the product and not refund. So choose the product wisely only after reviewing the feedbacks.Bad network quality. Does not catch mobile network.
"
49,"  Good- got it for 9999- decent phone for this cost with all the necessary gizmos and bling- finger print sensor is good. fast and sensitive. Haven't tried the face unlock.- display is top notch on any good Samsung phone for this price- quality pics/ decent ( note - I'm a normal user of camera )- battery is very good. its really a monsterBad ( depends on perspective )- slightly big for small hands- it has all the dumb samsung apps inbuilt ( you can uninstall a few )- slightly heavier when you have a good solid case ( read as spigen branded )Overall very happy to have a good ( more than decent ) phone for the initial offer price.
"
50,"  Being die hard fan of Samsung it is very difficult to write this review.Camera quality:why say 48MP  when it doesn't even look like 13MP my Mom's Samsung  M10s  camera quality and screen quality are far better than this phone. Regret for buying this phone for such high price booked on first day of launch as it came from Samsung brand. Generallyi go by reviews  but first time ordered on  launch day becoz of the reliability.I regret for the decision i made. Do not recommend the phone for anyone.
"
51,"                    The media could not be loaded.
"
52,"                
"
53,"   I don't know why Amazon is compromising on its quality to deliver  product's,  its evident nowadays, Recently I have got Samsung M12 product on 7 April 2021 the exchange date is 14 April 2021 ,Now after 7 days this phone display is gone , there is a blur continously in the screen,
"
54,"  Plz do not buy this mobile.. I am facing poor network issue. In my home others are using without any interruption.. Tried many things.. Asked colleagues, neighbors, mobile store person, google and tried all the ways.. But internet is very slow.. The same sim is working fine in other devise in same location. Even internet is ON it is showing you are offline when i try something. Also took nore than 45 mins to download 72 mb size app. Atlast i cancelled and came out due to intolerance. I am placing return order, will see what is gonna happen.
"
55,"  Very good phone. Camera display speed very good. Weight is little heavy.  But worth compare to the price
"
56,"                    The media could not be loaded.
"
57,"                
"
58,"   I had received this phone on 09th May 2021. For first two days it worked ok. (OK because this phone is very slow)BUT on third day, 12th May 2021, it was hanged very badly. It was neither getting switched off nor restarted..!!Immediately I have contacted the customer care for its solution. The Amazon representative has responded well and helped me to book technician's visit, which has completed on 15th May 2021.Amazon is ready for its replacement according to their 7 days replacement policy and hand to hand replacement.It was a traumatic condition for me as I have bought this phone in this COVID pandemic in very urgent condition and I badly need a phone always working 24X7 as my family was admitted in the hospital.Also, people who wish to buy it for its Camera then please beware as Samsung is advertising it as TRUE 48MP QUAD CAMERA but its result is like 8MP blurred one.Second thing is the phone is very slow and its UI is frequently NOT WORKING.Third thing is its speakers are giving old radio kind of noise.Luckily, there is no option for rating it ZERO or NEGATIVE star, else I would definitely give that rating to this product.There is ""No Return Available"" and only replacement option is given by Amazon.Only positive thing in this entire incident is that I have bought through Amazon and got their prompt support.I am very much thankful of Amazon as they have replaced this faulty device with new one on 16th May 2021, means within one day after technician visit.Now, I am only hoping that replaced SAMSUNG M12 mobile may perform to atleast ""OK"" level, if not to ""GOOD or BETTER"" standard.Dear Samsung, I will edit my review with positive points if I found the replaced product upto the mark..!!
"
59,"  Decent phone.. people say VGA cam because they didn't notice that the aspect ratio for 48 MP camera.. 48 MP cam option is only for 3:4 aspect ratio..And yea its true that the wifi doesn't support 5G bandwidth..  but over all decent mobile for decent price, Got 6GB version for 11.300 using coupon and credit cardThanking Amazon, IndusInd and Samsung!Posted pics are Shot by me on Samsung M12,Those who dont believe they can ask me for Camera Settings.
"
60,"  Don't have slow motion, and to much leg.
"
61,"  Pros:1. Best Battery i.e. 6000mAh.2. Good Back camera.3. Good and very necessary features by Samsung One UI. (I bet you'll like it)4. Good Performance (I use a lot of apps in multitasking but I don't play games so can't review gaming performance).5. Supports 15WT fast charging.6. Display is good according to the price range. (Don't get confused on poor display reviews.)7. Side positioned fingerprint sensor is good. (In starting you can face problems if you are currently using a back fingerprint sensor)8. Low light image from the back camera is also good. One attached in the image.9. Currently(11/04/21- 15/04/21) this phone is available @11700 (effective price)using Indusind bank cards so it is a loot deal for now. (Lowest ever price for this phone)Cons:1. Very bad front selfie camera which is 8MP (If you are a selfie addict then avoid it)2. Phone is very heavy and big in size.3. Adaptive brightness is not up to the mark.4.Animations are a little bit slow.5. Contact searching speed in the contacts app is very slow.(Resloved after update)6. After every update they install MX Takatak, Moz like apps which you can uninstall anytime. ( I think to make this phone that much affordable they are trying few methods of Mi and other Chinese brands.)Result: Best phone with all the latest features in this price range. @ 11700 - 12500Important(For those reviews who are saying the phone is slow): Got to developer options(Search Google for how to enable it ) and then Set Windows Animation Scale to .5x, Transition Animation Scale to .5x, Animator Duration to .5x. (Earlier all 3 developer options are set to 1x that's why the phone seems a little bit slow).Update: After update Contact searching speed became very good.
"
62,"  The price of the product is OK as per the price bracket. However it was nowhere compared to my old VIVO V5. Made a mistake exchanging the phone.The phone is average...
"
63,"  Initially i given 4 star and after few months of usage can see the sound quality degraded and very feeble .. camera outcome is not that much quality as they promised in d specs ..Samsung average phone at average price to meet out china companies competency..My old reviewI have bought 6GB Ram phone as I am long time user of Samsung and downgraded from high end series to this M series. D main reason u need to go for Samsung compared to China model phones is the SAR .SAR for this phone model is 1.19W/KG which is within the 1.6 range .Sound quality okayPicture quality is okay and not badBattery draining not that muchEase of navigation good 👍Performance is goodThis phone comes with backside Matt finish and not glossy finish ..tats s only cosmetic changes compared to M31 series ..Over all okay 👌🙂 ..head set won't be there which they mention in the items that they will provide..Overall decent price 👌
"
64,"  I have Mo2s and this m12....better buy m12 you get better storage ram camera and finger scanner etc....record selling on Amazon...just checking performance...will give review after 1 month....overall good on specs....
"
65,"  Except battery life.. rest other options like camera, display , software are all useless. If Mobile size comes under 6 or 6'4 inch then it will be preferable for elder people(above 50 age). Over all it fails in all segments. Micromax in 1 is far better than M12
"
66,"  I have been using this phone for more than a week and below is my feedback.1. Excellent battery and its lasts for 2 days at least on normal usage.2. Phone performance is good for normal usage such as YouTube,  Facebook or watsapp and usual games.3. Look and feel is good, easy to use.4. Phone is quite I feel probably due to battery  capacity.5. Front camera is not good but back one is good. This maybe great for selfie  lovers.6. Phone doesn't hang when multiple apps are opened.7. Worthy product  for this price based on spec and quality.I have attached  the photos taken and also same pic taken using both front and back camera  to show  the difference.  Overall it's a good budget Phone with all nice features and excellent battery.
"
67,"  1. Mobile is heavy,2. Company has given 48 Megapixel Camera, but camera quality is very poor,3. Mobile is not slim, and it is very thick mobile,4. Screen size is narrower than image5. Never buy, this mobile it is the waste of moneyAs per Amazon Policy they are not ready to return the product, I have wasted my money on this mobile.
"
68,"  Genuine feedback after 1 week of usageGood things:Low PriceBad things:1. Battery drains very quickly..my old realme mobile was 3000mah battery but was getting me 1 full day and this phone is 6000mah Battery but drains by evening2. I am using 4GB ram and its very very slow and very lagging..very versatile very horrible3. Finger print scanner everytime i get error message could not detect correct impression try again4. It says 48mp true camera but i could not notice any difference from my old 16mp camera5. No cancelation or refund policy6. NEVER BUY FROM AMAZON IF NO CANCEL/REFUND OPTION IS THEREConclusion:Better to chose any oppo or realme mobile in this budget
"
69,"  I bought this phone mainly for my kids online class during this pandemic. We thought to connect the mobile with our TV through HDMI adapter so that our kids can see the class directly on TV. When we tried to connect this mobile with HDMI adapter we came to know that this is not compatible with the adapter since it's USB hub is 2.0 (Don't know why Samsung configures the old USB hub for it's new mobiles). We also checked whether this mobile is MHL compatible or not? but it's not.If you are buying this mobile only for personal use then it's a good mobile. But if you are looking this mobile for your kid's online class then PLEASE DON'T BUY THIS.
"
70,"  Samsung is the beat
"
71,"  The phone doesn't meet the basic expectations from at a 10k budget segment and I was surprised to find that the MRP is INR 15499. The camera is a false 48MP and not at all true and the sensor has a very poor performance. There is no support for 5Ghz Wi-Fi which is strange to find at this age of mankind. The speed and performance of this octa core processor is sloppy.The only thing good about this phone is the battery backup and the storage provided in the higher configuration. If you are buying this phone for a standby purpose, then it is fine and worth the money. If you are considering to buy this as a primary phone, take deep breaths and look further for better options in the same budget segment.Always check the manufacturer website for specification details before buying the product.
"
72,"  Had some expectations. Worst mobile experience. I might be happy if I have bought this phone 4 years back. Such a bad touch screen slogging performance. Nothing is good in this
"
73,"  Very bad product.I never think such a product will come from Samsung.It had 48 MP only for show.Photos are not clear .On checking the photo size I found that 12mp again I was astonished I contacted customer care of Samsung they told me to change the camera setting 48 MP then I got photo in 48mp the clear not better than previous one .It gives very low quality photo again.It was my experience.I had bought by dreaming photo clarity.Net work problem is usually Samsung problem here .The only better thing in this phone is battery and quick charging
"
74,"  After a long span of time say 3 years, im back to Samsung. Now, Samsung realise that selling their name is no more working and reduce the price at the level of other company to success in the market . I bought 6 gb one and very happy with it now.However,  as before, many of the inbuild apps irritating me which are not uninstallable.After using it for 3 months plus, let me give my fair opinion:1. Battery life makes me happy, but fast charging needs 2 hrs plus is little bit annoying.2. Camera must not be more than 12 Megapixel. As compared to my previous phone MI Note 6 pro, I dont see any better snap here.3. Finger print sensor is absolutely annoying. Most time i have to enter my password manually as FP sensor do not detect my fingerprint. How my previous phone MI Note 6 pro nicely detects my fingerprint and easily open phone has been missing here.4. As MAH is more, thr weight of phone is bit heavy. I dont know why Silicon cover of around Rs 99 approx cannot be attached here in the package!! I bought silicon cover from Amazon but lately arrived which cause my phone screeen crack due to fallen from my bed. If it was in Silicon cover, the Lcd must have been intact till now. MI 6 Pro had come with one extra phone safety cover but Samsung cannot.5. After two years , I come to Samsung again hoping much UI improvement. However, i found Samsung do not compete with even MI in certain ways. I need to put Alarm clock on, i can easily go directly to all clock setting by clicking wall paper clock in MI while this phone need me to go to the clock in menu and so. When a turn on torch, i can easily turn it off by pressing power button in MI while this phone needs me to open screen and tap on torch icon in menu manuallyAs off now, i can point out these points to ascertain my judgement. I will comeback after using a year if get time
"
75,"  Edit1: adding on after using it for a few months, the call quality is terrible and microphone is also not working properly, Please look after other ones, waste of moneyThough the battery life is great, the charge time is long. Don't buy it. The performance  drop is so exaggerated. We can't switch between  apps without waiting for 3 to 4 seconds minimum.  Camera quality is bad as well.Edit 2:Worst mobile I have ever bought. Never buy it. There are lots of bugs, wifi calling gets switched off automatically, Sim signal service are irritating. Bluetooth is of inferior quality. Lte settings change automatically.
"
76,"  This phone is great! Writing this review after 2 weeks of using.Battery, camera, display all are good...and Battery is 👍.  Here some sample of photos attached.Phone is little bit heavy..for that large battery.Processor is good for daily use...but not for gaming.  Phone 🔊 is also good.Thank you Amazon.
"
77,"  Amazon did a great job with the delivery of this product. Ordered and received on the same day.On the phone: I am happy with it. Have been using this phone for 3 days. The battery lasts for 1and half days with gaming and binge watching videos.The screen is comfortable. No issues on the screen, though  it is not amoled for an average user it is not a big difference.For the price this is a great buy, of course there is no snapdragon chip. But the exynos 850 is 8nm and at this price point is comparable to most snapdragon 6series chipsets.Camera is decent. As long as you are not a professional photographer,  this will be good enough to take atleast average if not great pics. (Some  pics are really great).This is definitely not an iPhone or one plus. But for the price it definitely is great.
"
78,"  Product is okayBut I cancelled order to get discount by paying for the same product by credit card.Disappointed that it was rejected.
"
79,"  This phone is not compatible with 5 GHz wifi. I have JioFiber which is having 142 Mbps speed but my wifi network is not visible in phone's WIFI.I called to Samsung customer care and he informed that this phone will be connected to wifi which is having 2.5 GHz.I am returning back this product.
"
80,"  Camera picture quality not up to the par! But considering the price range, it is acceptable!But no 5GHz band support! Unacceptable in 2021!!90Hz screen refresh rate does not feel like 90Hz!Lot of lag is present! Don't know if that is a software bug!Battery performance is good!!Speakers are good, as expected.Overall, except the WiFi dual band support issue, rest is acceptable in this price range!!
"
81,"  Recently I bought this galaxym12 for Rs.11k. Overall ok. But onething have to remember thst is thickness of the phone. Its 10mm THICK. Just like a brick in your pocket. Overall dimension of the phone also big. Hight , width, especialy thickness. Before i bought i didn't noticed the sizes of the this piece. Thats my mistake too. But u guys please concern about this review before you buy. Otherthan size completly ok at this price.
"
82,"  I gave it 4 Stars for the features that do work and not because it's a great phone. Considering price I paid for It I am reviewing it.Pros: Good Battery Life, Great Fingerprint sensor placement, Speakers are good as well for the price, Widevine L1 support with Dolby Atmos too. Storage is plenty with Expandability. Form factor I found good Too.Cons: Performance; sometimes it lags and the 90hzs is a gimmick, the UI itself is too laggy to notice it's smoothness. They went wrong in cameras too, just because they can afford to put a 48 megapixel camera doesn't mean it's good. The ISP is bad and makes even the bayered photos look noisy. I would suggest to use a GCam mod, then again I didn't find one that works perfectly for Exynos 850. Also other 3 cameras are just as bad if not worse. Shooting raw helps if you have the time to edit it later on Lightroom or snapseed.Also Noticed that the software adds background blur that looks unnatural, at f2.0 this should not happen at all.Get it for you parents.
"
83,"  Actually i brought this phone on focus to the 6 gb ram, 128 gb storage, 48 mp camera & 6000ah battery. Later on viewing the review of some customer i  was very upset & regreting myself. But when i received the item and my experience on the phone is 100% satisfy with the product. Awesome phone on this price range.Thank amazon & its seller partners, once more thank for courier partner too which help to delivery my item on time & safty.  Thank all
"
84,"  Don't get duped by this phone. The description of the phone does not describe wifi support anywhere. Who makes a phone without 5GHz support in the year 2021!!! Apparently Samsung does. This pathetic piece of plastic does not support for 5GHz wifi.
"
85,"  Dear friends, believe me. Don't waste your money on this phone. This is the worst phone I have ever purchased. It is slow and hangs often. The network connectivity is very poor. My Jio 4G sim, which was working perfectly on my old phone is miserably slow on this phone. For watching YouTube videos, you have to wait for minutes for the video to load. I can't believe such a miserable phone can come from Samsung. And to crown it all, there is no option for return...! You can only request for a visit by the Amazon expert. I don't believe it will do any good.After two weeks I exchanged this rubbish with a Realme phone on Flipkart. I lost around Rs. 5000 on this deal, but it is better than suffering such s miserable thing. Because of this cheating I am leaving Amazon.
"
86,"  In dis price u can afford M12 ...no doubt...overall excellent performance
"
