,review
10,"                    The media could not be loaded.
"
11,"                
"
12,"   Barely two odd weeks into my purchase, my phone faced a software glitch. The phone refused to boot. It was stuck at opening ""Redmi"" stage. Even when I pressed on OFF button, the phone switched on by itself, refusing to reboot beyond the first step. Eventually it got hot. I dropped it by mistake when I picked up the hot phone and it landed on my wooden floor. It split into two and caught fire. My floor got damaged. Thankfully it did not explode. No one was injured. I want the company to contact me and give me an explanation why it caught fire.
"
13,"  Very very Poor Mobile. If you have used any FHD mobile phones then I bet you that you can't use this phone for more than a Hour.PROSBattery. 👍🏻👍🏻Sleek design. 👍🏻Call quality 👍🏻👍🏻👍🏻CONSWorst Display ever seen. YouTube videos👎🏻👎🏻Processor is Pathetic. 👎🏻👎🏻👎🏻Camera Front is just okay. Back total failure.👎🏻Poor Internet connectivity. 👎🏻👎🏻👎🏻👎🏻👎🏻Nothing inside the box. 👎🏻👎🏻👎🏻👎🏻Please don't think of buy this phone. 100% you will regret. MADE IN CHINA product. They mentioned as INDIA everywhere but the Mobile. Soft cover shows MADE IN CHINA. Rs.8998 is wasted..You can buy for a elderly person who use only for Call purpose. Better Don't Buy 😂😂😂
"
14,"  Overall its good and satisfied for the price.Pros:1. Good Battery.2. Best budget phone for 8999 with 4GB RAM and 64GB Internal Memory.The only drawback i felt is Camera.If you are looking for a better camera I would suggest to pick some other model.
"
15,"  best good product prive battry camera all very good
"
16,"                    The media could not be loaded.
"
17,"                
"
18,"   Auto response start problem with start mobile
"
19,"  It got so many bugs, the screen turned completely blank when i clicked on 'update system app', surprisingly NO heating issues, brightness is lowFor camera the rear is okay but front lacks details
"
20,"  It is  a good phone which is orange a nice colour I love it it features are better than other phones
"
21,"  Worst product ever as the camera quality is very poort rear as well as front. Amazon was not ready to take the return as they have a new policy now which is replacement policy so they will get you a replacement but won't take it back. Bought that in sale as had heard from friends that redmi phones are good but it ain't. Will suggest not to buy at all from Amazon as it's better to go and buy from the store atleast they take 500rs and will exchange the product. Speaker is poor you can not hear properly on speaker at all. Product is not worth in this price range as one can get better options by payin 1000-2000 bucks extra.
"
22,"  Good product. Value for money phone. Everything is average. Display is good. Battery life is also good. I bought it for a employee of mine. Overall a good phone. 4/64 combo is hard to  find in this price range. Exceeded my expectations.
"
23,"  It is a just ok kind of phone. Camera is very pathetic. I did not expect this type of camera in this phone. Even my old redmi 4a mobile is better in camera than this. Apart from camera, I could see there is some lag in the screen while moving to different pages though it has 4GB RAM. Better choose some other phone than this. It has no notification light and has a micro USB charging port. No night mode in camera.Update after using it for 20 days: the phone gets lagging all the time no matter what ever the app you use. It is completely waste of money. Do not buy this mobile.
"
24,"  First Of All I Bought This for my Dad against his old MI 5A .I Got This For 6800 Only.Please Dont This in Buy in 9000/-.My Review Scores Are-Battery Backup- 10/10Storage - 10/10Camera - Rear(7/10);Front(5/10)Sensers - 10/10Build Quality - 10/10Looks - 10/10Performance -9/10(Not Gaming Type Phone Cause G35)Overall Suggestion Is :You Should Buy If●You Are Normal User who wants long battery backup(WA/FB/Insta/Uthoob/Calls)●Looks Matters●You Are Not "" Selfie-Lover "" Type PersonYou Shouldn't Buy If●You have hardcore needs like video editing,coding, designing●You Are Hardcore Gamer●You Are ""Selfie Wala Person""Thankyou😎P.S:- You Can Consider Redmi 9 Prime If You Are Second Category😁
"
25,"  My suggestion for everyone who is thinking to buy redmi 9, please don't buy.Redmi is a very trust brand but not redmi 9.I purchased this phone 3weeks ago, first it was in good condition, after 3 week it started to hang every morning, after 4 days the phone completely shutdown.I don't know what to do, before getting one month this happened.It's getting really hurt to use this phone.
"
26,"  Redmi9Too many disadvantagesCamera quality is worst:both front and rear.Processor is very slow.Body is plastic and which is uselessDisplay quality is very badMicro usb charger: this wonder, since all model new phones are coming with c-port, but this phone with old model micro usb port.Video calling is issue.Heating issue during charge aswell as during the call,You can't video call and many more issue.And you can't return the phone in Amazon.Totally this phone is gutterchap quality.
"
27,"  G35 is ok for day to day usage not highly capable..
"
28,"  Best mobile ,best service currior boy
"
29,"  Best mobile under 10000 💖💖💖
"
30,"  Xiaomi has provided a magnificent smartphone in low budget section with increadible feature and great visual asthetics.Pros:-1. 4gb DDR4 RAM faster then SD 6xx series2. 64GB storage3. Under 9000 INR4. 5000 mAh battery ( however the chipset consume more battery as compared to SD with 4000mAh battery will perform the same)5. Fast charging support (Definitely buy a fast charger for great experience)6. MiUI 12 is simply clean and loaded with features. Seamlessly switch from provios mi phoneCons:-1. Battery sucking chipset Helio G35, not optimize for gaming.2. Lack of notifications light(small but deadly features, you will miss it quite often)3. 264ppi display for 720p resolution looks crupmy at this huge size.4. Poor quality made in india accesories.5. Building quality is poor. As well as camera are very dissatisfied.6. Useless camera bump for 2 poor camera only just for marketing showing 3 circles.7. Loaded with bloatware and adware. Unauthorised data transfer to China.If possible go for Motorola E7 around the same price and you will have great experience with Snapdragon and clean android experience.
"
31,"  Overall good mobile...But Camera not good as expected.Overall Performance is good .Value For Money
"
32,"  I was having Samsung before same 4gb ram and battery back was very good but in redmi with out much of space or app ram speed is very very slow and battery back up draing with a day so not happy with the redmi product .I can return to Amazon with in 7 days but unfortunately our building is effected with covid possiitive so totally issulated no one should have contact with us so can't able to send the return mobile
"
33,"  Charging Adapter came with phone turned out to be defective. stopped working after 2 weeks of purchase.Don't know how to return the adapter or how to claim the warranty on adapter alone.Phone is working fine so far and looks good
"
34,"  Very very poor camera.its look like jio 1500/- camera and supplier not responded regarding this issue
"
35,"  The phone is very hang and some application doesn't work properly....Pls don't buy this ....If you are try to return it will having lots of stages and procedures.The performance of this phone is very bad...Redmi provide 4gb ram but it having Below 2 gb experience...Poor network connectivity and some times it showing blank screen...Very waste products...and big lose of money.........
"
36,"  This is my review after 1 year of purchaseProsDisplay 4/5Speaker 4/5Finger print scanner 5/5Battery backup 5/5Phone is good if you are a beginner to touch phone, the helio g35 processor is good for day to day task but there is some hanging problem but too rare, ram management is not upto mark, some time google browser crashesh, camera is below average you can take photo by managing. There is some bugs in miuiConclusionIf you need a phone for study puposes go for itAnd if you are a casual user then go for itOtherwise don't look into this
"
37,"  Cons :- Orange Back different from that shown in product pictures. Not attractive.- No battery charging indicator light.Once the mobile goes in sleep mode, you cannot figure if it is charging or not.- Defective Sound System : volume is generally low. No Bass At All. Sound Volume goes up and down on its own while playing songs/video.- Extremely Short (half meter) charging cable- Micro-USB B-type port- Outdated handset. Not worth the money.- No RETURN Option despite receiving defective piece- No Option to schedule technician visit before replacement window closes (all slots permanently full)Stuck with a defective handset.No scope of Return & purchasing another model.This feels like fraud.Disappointed with Amazon for the first time.
"
38,"  Phone is only for Calling, Whats App and Youtube.I gifted this phone to my mother, so as per her usage i felt its okay.Worst part is camera.... I even had Redmi Note 4.... I seriously felt Note 4  camera is much better that redmi 9.I got this phone in 7500/-
"
39,"  If you ignore this review, you ll end up regretting. Camera quality of this phone is worse than you'd have ever had. If you click a selfie you'll look an old person. No color, no texture. You can say that it's a budget phone and all that. That's true but even a simple one megapixel camera has 100 times better camera. Not exaggerating.Battery also a bit weak. Don't buy
"
40,"  I received the producton 18 th October 2021 . I was very happy with this., But suddenly on 4th November the colour disappeared look's like negative. I wrote Amazon team for the difficult & return back . Till today no response coming from Amazon team. Although I am a prime member & also items purchased more than 1200 or more. Lastly Amazon chitted me at least no single reply since 4th November 2021. How can we people trust? Thanks to Amazon team.
"
41,"  I would like to take a a few mins to write a review if this phone and Amazon service to alert everyone. Please do not but this phone if you would like to have some peace.Worst camera clarity and even more worse phone condition.Phone is heating up when charging.On top Amazon service is worse than ever to resolve this with a new phone Samsung.Disgusting customer service with in professional mannerism of agent by Amazon.
"
42,"  ====== waste of money ========1. Camera quality is very poor even 5K range phone camera is better than this.2. No full features of MIUI 12- > Clock icon is not real-time like in other Mi phones. > No one hand mode which is part of MIUI 12 so u cant operate this phone with a single hand.3. Display is also very poor means pixelated and no true colors.4. FM is not wireless works only with wired Headphone
"
43,"  This is a very good product with low price. Thanks Amazon and Redmi Mobile for this product.Excellent looks and colour and awesome features.I love this product too much thanks Amazon again.
"
44,"  For a price this low along with exchange offer is a winner. No one likes to keep the old phone and buy a new one. If they dont the mobile phones will keep piling at home. I bought this for mywife and she is pretty pleased with the buy.This is indeed value for money if you keep in mind what are your needs from a phone.
"
45,"  phone is good. works smooth. but camera is very disappointing....
"
46,"  Never trust redmi
"
47,"  Battery performance is not good camera quality is not good also there is no brightness in my device I don't want this mobile
"
48,"  What is main use of a phone?...obviously to receive and make calls....if you are not able hear anything properly then whats the use of a phone. Call speaker volume (internal) is toooooo less. It is so irritating. I wasted my money on this phone. Only the battery backup is good. Rest i wasted my money on this. The phone is unnecessarily too heavy. I should have spended extra 1200 rupees and bought Samsung M series phone rather than this worthless phone.
"
49,"  If there is an option I would 3.5It's been 2 days since I got the phone and here are positive and negatives with comparison to Redmi 8a Dual (my previous phone)Battery Charging: first 30-40% is very quick in charging. But to get it fully charged it takes almost an hour.Battery Life: It runs for more than 24 hours once fully charged even if you use it to watch movies and games.Negative : phone gets heated up while charging if you leave it on cushion type surfaces like bed, sofa etc. Irrespective of the surface phone gets a little bit heated up every time you charge it. And if you try answering a call or use the phone while on charge get ready for hand and ear burning sensation.This is not observered in Redmi 8a Dual. But the battery life is less competed to Redmi 9. If you are a person who uses mobile while on charge, then I won't recommend Redmi 9.Camera Quality: if you are buying this phone for Camera.. DO NOT. Redmi 8a Dual has better selfi and rear camera quality. Selfie camera is worst and rear works on in perfect lighting and when you try to zoom on objects it looses it's quality.Storage: Go for it.Volume: Good but when compared to Redmi 8a dual it's little bit low.Overall if Redmi 8a Dual is much better than Redmi 9. Except for the storage and battery life.
"
50,"  Mobile screen in good,battery backup excelent,Daily usage good,Gaming experience Laggy PUBG, Call of Duty is almost not possible to play in this game,it has 4gb RAM but still not good enough to handle gamesCamera quality is worst, not even near to expectations.Chinese's knows well how to attract Indians, Camera Megapixel, Camera filter, sound, Big screen and very common attractive looks.for normal usage like calling messaging, whatsapp and all this device is more then enough,If you are game lover or photography lover this device is not at all for you,If you just want a decent android mobile for daily usage its good
"
51,"  Nice product
"
52,"  Within a week after the phone purhase I faced a defect in navigation software which is crucial in today's time.. couldn't return as it expired 48hrs delivery time.. went to service center and they couldn't fix the phone defect in 1 week as promised.. I argued and they gave me a new phone in same model for usage meanwhile my actual phone is being repaired.. found the same defect in new phone as well.. my issue still hasn't been resolved from the Redmi company.. bad phone and service.
"
53,"  Never falling for cheap price again. I got it for 7149₹ at sale with extra 10% card discount. It was good for couple of months. Then it started showing some issues. I bought 4gb ram variant. Yet it got slower than my old phone which is 2gb ram. My old phone's camera is Front 2mp and Rear 8mp. But still my older phone gives much better image till date. My older phone's battery was 2400mah, and again Redmi 9 last only till evening, when charged in morning. Whereas my older phone lasted till Night with remaining 20-30% battery.I thought I was upgrading to a better phone, but no, I paid over 7000₹ for phone that is worse than my 5 year old phone. All the fancy features are nothing but gimmicks to attract customers. It's a cheap phone, that obviously have cheap parts in it. That will work fine for sometime but eventually devolve.
"
54,"  I used to have a Motorola Moto G5S Plus phone as a secondary phone and recently i changed this to Redmi 9. Here are the advantages and disadvantages. This is assembled in India and is a good value for money offering.Advantages1) I wanted to replace the phone with the cheaptest entry point phone with a good display.  The Redmi offer HD+ not full HD, but it is okay for my usage.2) The MIUI is extremely pleasing to the eye and gives a good user experience.3) The ease of set up of Redmi 9 was awesome. It was a dual SIM phone with Volte and 4 G SIM support on both SIM4) Also we can extend the existing 64 GB storage with upto 512 GB SD card, I have procured another 64 GB storage5) It has an FM radio thrown in as well.6) The camera is okay not highly fancy similar to the Redmi 9 Power, but this being a secondary phone I am okay with the overal performance.Disadvantages1) The charger is the only mini USB and wish this was a USB C type charge with quick charge.2) The Wifi detects only 2.4 GHz and not the latest 5GHz hence the overall connectivty speed is low.For the price point that is 2500 Rs less due to exchange and overall pay out to be around 6150 Rs, this phone is a value for money offering. At the time of buying this was the top phone in the Amazon phone range, but given a choice would have opted for Redmi 9 Power, that had a better feature.
"
55,"  I just bought and unboxed it.its a budget friendly Smartphone. in this box contains a Smart Phone,Sim Ejecter Pin,10 W Charger,Micro USB Cable for Charging.HD plus DisplayAnd Operating system is Xiaomi Latest user interface MI UI12 .Water Coating ,in this price range its display and sound is not bad.And better experience.Demerrits is  Not a fast charger ,IR Blaster feature is not available.It is not a big demerrits .in this price this is an amazing smartphone.I liked this Phone and recommend my friends because its a budget smartphone.Now many phones provided everything good  more than redmi 9.i repeat its a budget smartphone. That because i recommend my friends.  Anything i missed discuss to you ,sorry about that.  Thankfully  Amazon Customer  More Than Amazon Lover
"
56,"  This phone is a budget smartphone with decent performance. I am using this phone for last 3 months so I am sharing my views basis my experience. If you are bying it for regular uasge like calls, watching YouTube and whatsapp then it's good. Don't consider this phone for gaming or heavy usage as it lags then. I hav bought this phone for my son for his online classes, calls and for YouTube videos so it's working fine.
"
57,"  Third grade phone from MI Looks like 2 years old technology used in phone micro USB charging point in phone very very slow charging... Even 6k phones from mi r giving c type charging in phones.the camera quality is so pathatic that any 5/6 k cheap phone can click better image than this,really wanted to return the product n get my money back to buy another set but there is no option to get the money back.Shame on u mi using more than 2 years old tech in ur new phones.
"
58,"  I have checked it myself that the second space feature is not available in this phone. MI customer care is saying it has second space and service centre saying it does not have . I did not find any better solution other than returning it because a brand like MI is misguiding customers. The hardware is so downgraded that it cannot handle second space . So they have removed the feature from this phone which is available in each and every phone running MIUI. Worst experience ever ......
"
59,"  Pros :1: Sharp display despite only being Hd+ instead of FHD+2: Decent gaming processor , guarantees a smooth 50+ fps gameplay on many games3: fast storage , ram and is somewhat bloat free with a really good OS skin4: Really nice grippy texture5: Above average speakersCons :1: Average camera (though that's expected)2: Doesn't have full fledged fast charging so may take upto 2 hours for a full charge3: No earphones in box (but most people don't use stock earphones anyways)Verdict : Really good phone for a tight budget of 11k but if you chip in 5k more the Redmi note 10 is a good choice as wellNonetheless an all round good phone at its price range
"
60,"  First of all, product launched in September 2021 with old version of Android android 10 while android 11 was in market. They are not providing update of android 10 to 11. It is that slow, even YouTube struck.  It feels that I am running a Chinese mobile of year 2010.Don't buy it guys. Just for the sake of large customer base Redmi is in unethical business.Guys don't fall prey to Redmi's trap.
"
61,"  Don't get fooled guys by redmi 9 activ and amazon, The display as well as camera quality is disappointing. Their is very poor display with extremely poor brightness. Unless you switch it to maximum the display lacks brightness. Also the camera quality is extremely disappinting, both the front as well as back camera. Return policy is not applicable and only replacement is possible with same mobile and that too in the case of recieving only damaged product. Here also the customer will be feeling like befooled as once purchased the mobile, it can not be returned at any cost. Very much disappointed with MI as well as Amazon. No where they have mentioned clearly that the mobile can not be returned except for damage, only they are mentioning that 7 days replacement is possible making it dubious for customers. Kind of feeling cheated withAmazon as When I have resources available but still will have to bear with a lower end mobile whose performance is not at par just because it can not be replaced by Amazon. Not sure when Amazon started these cheap kind of gimmicks erasing it's brand name. No support by Amazon for this kind of performance/satisfaction issue with product. Think twice before purchasing this redmi 9 activ mobile. Only if you have budget issues then only buy this mobile. Because once bought it can not be returned. The phone is lagging in speed also. Their seems issue with power button too. Overall the quality of the mobile is compromised too much and a much better mobile can be bought at this price(6gb + 128gb) waste of money
"
62,"  *Till date this is one of the worst phone, I ever purchased.!!!*Definitely not recommended.*Doesn't support split screen for using two apps simultaneously!*EA games keeps hanging in this phone.*Camera quality is worst!!
"
63,"  I write this review after using the mobile for 14 days, first 2 weeks it's awesome 😍, after that the mobile is getting OFF automatically & after few minutes getting ON, I thought this might happen as a new handset that comes with few updates. Then after 17 days the mobile got OFF & never ON again. I visited Mi service center they said the mother board is damaged, they kept the handset & asked for 1 week minimum for recovery. This is the worst 😭experience with Amazon & Mi India.
"
64,"  am using amazon for the past 8 Years, today i have faced a really bad experience.i have received a faulty mobile, i contacted amazon to make a refund. even they agreed. still for past 5 days i haven't received any response from amazon, the faulty mobile is with me of No use.Very bad response from amazon.
"
65,"  It supports only 2.4GHz wifi. If you are looking for faster internet speed then take a note on this, that this phone won’t support 5GHz wifi connectivity.Also noticed that the while having video call through WhatsApp, the call gets disconnected after a few minutes and then never gets connected.Sometimes it auto restarts.I am regretting on decision to buy this phone for my mom. My recommendation would be pay a bit higher but go for better brands.
"
66,"  Amazing product 😊 thanks you
"
67,"  I recieved mobile on 9th August 2021, when open the box unable to power on mobile. Same day I called to support they initiated replacement. Delivery boy came to my home at same day. He tried to power on mobile, as I already said this mobile is not powering on. He started argument without IMEI varification I will not give you the replacement. My question is here if mobile is dead then how and why he was insisting. Did customer care support team have raised proper request for replacement. Carrier guy cancel my replacement. I called again to customer care I explained everything and they said once replacement cancelled. We can only refund. I accepted that preposal as well. Same thing happened here again when carrier guy came to my home same question asked for IMEI varification I need to power on mobile.boss if phone is dead then how you will varify. This things happen almost 5 time. What I observed here customer care support team is not initiating my refund properly.I am prime member on Amazon but my experience is very very bad still I am struggling for refund.
"
68,"  Very good product, nice looking,super
"
69,"  I love this mobile redmi 9 its a beautiful mobile in law budgget.
"
70,"  Good option after Realme Narzo 10A and C3
"
71,"  Mobile ka battery backup or cemara bahut hi kharab h mene phone ko wapis karne k liye dekha to bolte h ki time nikal gya h 25 September ko mobile delivered hua or 26 ko time nikal gaya bol diya h i am very very sad 😭😭😭😭 but kuch kr nhi sakta hu price bhi 9500 le liya or ab kuch nhi kr sakte hai west of money and i don't like Amazon facility mene jab jab bhi kuch bhi itam magaya wo kuch na khuch problem nikalta h any timeThanks for Amazon
"
72,"  2 problem No Type-C port and IR Blaster
"
73,"  its just 7days, but stop working , very bad quality , amazon should check before selling this kid of product,yesterday was last day of repayment, i request for call me on amazon, i got call from [Subhojit], he took 28minutes on call but cant help me out, even he is not bother about, its not expected form them  i wanted to return but he didn't help me and due date is passed yesterday , some how i fill that they just wanted to pass the time so they time so my return date finish and they are in safe zone, other wise i never wait on call for so long, over all very bad experience with mobile as well as amazon, but one think is good that i didn't renew my amazon prime member ship, its west of money and time,
"
74,"  Product is nice,battery life also good,apart from camera quality not apto the mark but overall value for money product....only issue is they not provide me tempered glass & back cover too along with handset...they should provide this 2 things together...overall fine...thanks😊💐👍
"
75,"  phone is not value for moneyThe camera is worst i ever seen in any no redmi phone.Battery is ok.The display quality is very bad not hd. Watching videos on YouTube feels like watching 3gp videos.mobile display is ok in lookwise but not good in quality.Sometimes 4gb ram feels like 2gb.I am very disappointed by the camera quality of this phone.12 megapixel feels like 2MP camera. The back plastic body feels like a cheap phone.If you really need a phone there are many options in the market.If you are taking phone for the first and a beginner you can go for redmi 9 prime
"
76,"  I went to service center for inspection the kept the phone for 2 day's for digonosis  at last chasing them out they told me that main bord of your phone got damaged due to water went inside the phone via finger print. But i haven't used phone in wet hand at all neither it went into water. Pathetic service experience ever faced in service center. Then i went for another option of open market where they took 2000/-  and my phone started working as usual where as service center manager refused to repair and told me the expense will come around 8000/- to replace display as well main bord of the phone. That to we will not take any assurance it will work. This is the condition of service. Very disappointed.
"
77,"  Value for money product. The #Redmi9 is best mobile at this rate which comes 2.3ghz clock speed and 4GB ram. Very smooth and I liked the battery capacity very much. I can play pubg on it for continue 5 hours after full. So happy that I buyed this mobile. I love the #MI brand very much.#Redmi9_iz_lub
"
78,"  Product is good but protection (back cover) not provided and not available in market for this model.Pl. Provide suitable simple back case for minium protection
"
79,"  It is not C-type chager that's the first thing to fooling the customer and second one is every mi phone has  ir blaster but it doesn't having, I bought redmi8 it has both features and as it is old model and I bought it for @of ₹8000 Only but nNow it has 8799 by loosing the these features as I am get fool for the product I bought and Amazon also having the hand in it. It has to be take responsible for it
"
80,"  Best Budget phone.Dear Customers please remember that the Price is always directly propotional to the quality.This low price model lacks Type C Charging port. There is no Type C port. Its the old pin.Sound quality is really worst.My sincere advice to spend 1000 more and go for Mi 9 Pro.
"
81,"  Purchased this phone on 07/11/2021. Find below my reviews.Display: It is goodDesign: Ok (I feel it could be designed much better than current design)Finger print: Not facing any issuesBattery: FineCamera: Very poor. Most of the time the photo is blurred, especially photos taken in AI mode.Most of the people mentioned the camera is not good. I believe a 13mp camera is good for me but I never expected the camera quality to be this much worse.If you want to purchase a phone specifically for photography then I strongly recommend please go with some other phones.Reason behind why I chose Redmi is, Last Diwali I purchased a Samsung Galaxy 31 for 16,000 during the great Indian festival. But within a year there was an issue with the motherboard. So I don't want to put more pennies on my phone.
"
82,"  Good phone in this price category.Pros -# screen size is good and can be use with 1 hand also.# look of the phone is good in compare to others phone of this category.# phone i haven't used much but 5000 mah battery would be good.Cons :-I have not found more but on the back side 2 camera are there and one camera is just dummy print.Suggestion :Better to go with 128 GB. Mine is 64GB only.
"
83,"  I don't like the phone because it is not working in manner..It is self rebooting continually in every 10Seconds.Please mark this issue and start rectifying in further device production...Because your service centres are not being operated in service manner..Actually they just manipulate the all customer instead of resolving the issues..#Mi service centre , aggarwal plaza, mangalam palace, M2K sector-3 , Rohini , Delhi .
"
84,"  1: Purchased for Father who is knew to the smartphone world operation and features and it served his purpose the very best in this range of INR 10K.2: Also in the mobile industry every thing changes so dynamically that sky rocket configurations and prices have no limits hence sticked to this fix budget of INR 10K and features to an extent to conclude the purchase.3: Orange Color is quiet charming and pleasant to opt as well.
"
85,"  4GB RAM 64GB StorageColour: blackDONT BUY THIS MOBILE .Don’t buy this product .Image quality is below average comparing with the specification. Useless camera.And there is NO RETURN POLICY and replacing with same mobile is big headache .DON’T buy this mobile
"
86,"  Fast Fingerprint reader, large and clear screen, huge battery, overall well built. I choose this for my girlfriend, she doesn't play heavy games, for that matter she doesn't play any games on smartphons, so the Helio G35 with 4gb ram and 64gb storage is more then enough for her Facebook insta, and the 6.57inch HD display is also great for her nonstop Netflix and other media consumptions. She actually needed a phone with big screen and finger print security. Plus good battery life and no lags. So redmi 9 was a great gift for her. I myself use Realme x2pro because I'm a heavy user so that super amoled fhd+ 90hz display is a sureshot nessesity for me and a phone with the Snapdragon 855+ processer was what I was looking for under 35k.  First I thought to buy her some similar phone but than I thought why? She don't need that much powerful phone, so I gave her exactly what she needed. Huge screen, huge battery, good camera decent processer, 4gb ram. For her multitasking and 64gb storage for all her photos songs and videos and yea it has option for expanding the memory too which my phone doesn't have so I have to stick to the 128gb only.
"
87,"  Someone should give Nobel Prize for creating such a third class phone. If you put your phone idle for a few minutes SIM card is not getting detected. (Screenshots attached). So I became not reachable over phone. Now with a restart it again can detect both the SIM and joyfully if you give a call to someone from either of the dual SIMs on the other side over the phone none will hear any sound 🙄 now thinking if I had bought any feature phone atleast I can connect to people over a call. Now when bought , Amazon showed 7 days replacement but now waiting for some technician visit to confirm that this model has a manufacturing problem. So a strong No No for this product. Don't be trapped over the lesser price rather go for some pro Series of redmi if needed.
"
88,"  I am so addicted to Amazon now that I don't even remember half my orders. They just come and I take them. It's that simple. This  product had a exchange option where i had to return my older phone. No problems. The entire process took 10 mins. The executive came took my phone check a few things and game me the new phone and left. Amazing !!
"
89,"  My primary phone screen shattered and due to lockdown I'm unable to fix it.Ordered redmi 9 and Amazon delivered in  1day. A miracle! At these times.Great phone for the price, really happy with performance. Never heats up. Battery last 2 days with heavy use.Camera very very poor quality.So if buying for camera consider higher models.Highly impressed for the price.Go for it.
"
90,"  If you pay peanuts you get monkeys - that's quite true for the Redmi 9. With good specs on paper available at the then low price of Rs 9000 I made a greed-fueled decision to go for this. After 3 months I find the glass has scratched all too easily (as opposed to my Lenovo smartphone), the MIUI OS is buggy as hell and the gyroscope just does not work so moving the phone around does not change the orientation in GPS maps (or games). Overall a pathetic device.
"
91,"  I have purchased this and gifted. This is not a good phone where the quality and the performance is poor.Camera is poor.Charging slot is not type-C & not quick charge too, will have to wait approx 3 hours to complete the charge.Screen rotation is poor where it is taking 1-2 complete seconds to rotate the screen.Overall the quality and the performance of the phone is poor. I would recommend to not go with this phone.Atleast am allowed to write this comments in Amazon whereas if I would have purchased in mi.com, they'll block my comments and will not post if I give a rating less-than 4.
"
